h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,fd,class
0.32274,0.357859,0.939367,48.104702,0.878532,13.470549,192.901882,1.724524,2.873517,0.307973,0.641902,-0.566882,0.947115,0.953042,1.815737,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-trifascialis
0.178916,0.228746,0.970923,28.98368,0.897962,10.041289,116.332578,2.109,3.301081,0.192324,0.538011,-0.648394,0.978713,0.977104,1.735187,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-trifascialis
0.205563,0.163872,0.939828,39.532306,0.924864,12.387721,158.738607,1.799764,2.786175,0.141363,0.441245,-0.653203,0.965904,0.945991,1.745539,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-trifascialis
0.124734,0.383109,0.910429,21.883946,0.853732,8.918401,87.709098,2.245295,3.685337,0.321929,0.69081,-0.525186,0.963089,0.915931,1.814191,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-trifascialis
0.177935,0.205455,0.97602,20.820599,0.920915,8.164312,83.586234,2.016555,3.146877,0.179586,0.475493,-0.691428,0.981859,0.979707,1.821041,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-reticulatus
0.189831,0.113544,0.982074,16.31531,0.946241,7.283349,65.60193,1.912972,2.884826,0.102038,0.349687,-0.768141,0.986212,0.984639,1.925411,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-reticulatus
0.169344,0.116329,0.982644,14.912905,0.943956,6.831747,59.9613,1.994411,3.002116,0.103756,0.357164,-0.765273,0.987825,0.984338,1.804295,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-reticulatus
0.194496,0.135143,0.977467,29.967268,0.935389,10.417489,120.384046,1.908107,2.896481,0.118215,0.394251,-0.74822,0.984201,0.980412,1.784796,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-reticulatus
0.139542,0.161279,0.969813,15.966674,0.921919,7.323793,64.162177,2.131576,3.248848,0.137651,0.442341,-0.704919,0.985338,0.970419,1.845632,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-reticulatus
0.168768,0.091278,0.977154,17.632517,0.954582,7.939435,70.934029,1.918318,2.860559,0.084175,0.305538,-0.786261,0.987637,0.978942,1.786975,Actinopterygii.Perciformes.Pomacentridae.Plectroglyphidodon.P-dickii
0.205997,0.086237,0.982781,21.220987,0.958782,8.683847,85.339476,1.834182,2.740469,0.081094,0.289837,-0.795254,0.98649,0.987394,1.836475,Actinopterygii.Perciformes.Pomacentridae.Plectroglyphidodon.P-dickii
0.2308,0.19926,0.905815,15.394908,0.928277,7.604123,61.854651,1.670955,2.636105,0.176698,0.446383,-0.657524,0.961455,0.936784,1.777835,Actinopterygii.Perciformes.Pomacentridae.Plectroglyphidodon.P-dickii
0.20067,0.127845,0.955188,12.966742,0.939242,6.825451,52.164737,1.833947,2.779201,0.112834,0.377371,-0.711495,0.976496,0.963132,1.870251,Actinopterygii.Perciformes.Pomacentridae.Plectroglyphidodon.P-dickii
0.20718,0.124128,0.943994,24.953587,0.937936,9.797607,100.301595,1.786497,2.701497,0.108721,0.375069,-0.692959,0.971077,0.947482,1.732319,Actinopterygii.Perciformes.Pomacentridae.Plectroglyphidodon.P-dickii
0.143436,0.407454,0.946494,22.037552,0.865937,8.570568,88.277439,2.238451,3.673026,0.350376,0.683985,-0.565582,0.972,0.950188,1.757568,Actinopterygii.Perciformes.Pomacentridae.Amphiprion.A-clarkii
0.070605,0.949084,0.887494,20.253523,0.755648,8.04014,80.566541,2.536058,4.512316,0.823882,0.992709,-0.391593,0.942807,0.893193,1.684842,Actinopterygii.Perciformes.Pomacentridae.Amphiprion.A-clarkii
0.181162,0.620108,0.901883,15.20478,0.810816,6.972358,60.633806,2.106647,3.640219,0.531097,0.846876,-0.460431,0.941624,0.913037,1.713119,Actinopterygii.Perciformes.Pomacentridae.Amphiprion.A-clarkii
0.200518,0.336769,0.920669,13.27323,0.873903,6.709774,53.174535,1.964476,3.173932,0.285821,0.64219,-0.566547,0.958458,0.929162,1.726344,Actinopterygii.Perciformes.Pomacentridae.Amphiprion.A-clarkii
0.312149,0.403419,0.958258,44.438559,0.86906,12.617949,178.138462,1.769004,2.944864,0.347676,0.677313,-0.564333,0.94934,0.96196,1.799631,Actinopterygii.Perciformes.Pomacentridae.Amphiprion.A-clarkii
0.177547,0.118227,0.965735,8.076039,0.941051,5.071429,32.501916,1.885264,2.839265,0.104363,0.363613,-0.729545,0.980634,0.967683,1.812863,Actinopterygii.Perciformes.Acanthuridae.Zebrasoma.Z-scopas
0.260434,0.163425,0.960129,13.449464,0.928214,6.784038,54.057456,1.671335,2.598771,0.14233,0.433958,-0.674294,0.963793,0.967046,1.75845,Actinopterygii.Perciformes.Acanthuridae.Zebrasoma.Z-scopas
0.207394,0.167277,0.969308,18.676691,0.922106,8.01915,75.039707,1.779261,2.753842,0.143476,0.448923,-0.681851,0.970618,0.973283,1.789647,Actinopterygii.Perciformes.Acanthuridae.Zebrasoma.Z-scopas
0.166605,0.168216,0.975122,33.150274,0.92683,10.943526,133.115875,2.039965,3.139661,0.14635,0.439908,-0.715218,0.984718,0.976691,1.907817,Actinopterygii.Perciformes.Acanthuridae.Zebrasoma.Z-scopas
0.158837,0.20842,0.963265,22.20459,0.918292,8.83301,89.161028,2.112769,3.309068,0.181329,0.484376,-0.692845,0.984906,0.967904,1.93129,Actinopterygii.Perciformes.Acanthuridae.Zebrasoma.Z-scopas
0.24903,0.369687,0.964175,18.584534,0.875131,7.359262,74.427426,1.959992,3.213653,0.317951,0.652555,-0.58833,0.965062,0.96823,1.817506,Actinopterygii.Perciformes.Pomacentridae.Neoglyphidodon.N-nigroris
0.198892,0.230153,0.970379,17.013806,0.902901,7.277983,68.278969,2.132476,3.343278,0.195759,0.529213,-0.662918,0.981668,0.972558,1.802136,Actinopterygii.Perciformes.Pomacentridae.Neoglyphidodon.N-nigroris
0.13232,0.277778,0.960155,19.037543,0.868924,7.918403,76.366319,2.272262,3.582624,0.227214,0.601604,-0.604534,0.97731,0.964326,1.815457,Actinopterygii.Perciformes.Pomacentridae.Neoglyphidodon.N-nigroris
0.320638,0.235957,0.967228,12.741231,0.906923,6.078134,51.107872,1.812849,2.888322,0.202991,0.525942,-0.633916,0.96513,0.971709,1.765597,Actinopterygii.Perciformes.Pomacentridae.Neoglyphidodon.N-nigroris
0.192555,0.285951,0.977603,27.250872,0.90768,9.167389,109.289521,2.013252,3.207973,0.251315,0.541188,-0.678079,0.981216,0.978533,1.802766,Actinopterygii.Perciformes.Pomacentridae.Neoglyphidodon.N-nigroris
0.092163,0.84933,0.903977,22.31706,0.837673,8.491629,88.948661,2.444499,4.158038,0.763672,0.832395,-0.545144,0.977584,0.909195,1.758526,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-aruanus
0.146511,0.524026,0.94948,14.490981,0.867996,6.131962,57.82217,2.255868,3.70806,0.463159,0.70537,-0.585728,0.976547,0.951652,1.720168,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-aruanus
0.165131,0.393988,0.958387,13.065347,0.881159,5.804067,52.229178,2.18118,3.553197,0.343742,0.645754,-0.611256,0.977849,0.959218,1.769063,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-aruanus
0.08491,0.650253,0.939263,27.743458,0.850325,9.494949,110.916035,2.506549,4.181184,0.577099,0.776104,-0.571861,0.982274,0.942221,1.752472,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-aruanus
0.133723,0.242966,0.983053,23.061532,0.908296,8.004435,92.502464,2.289907,3.597317,0.21026,0.526241,-0.710071,0.990427,0.983231,1.776154,Actinopterygii.Perciformes.Pomacentridae.Dascyllus.D-aruanus
0.133291,0.358058,0.898693,41.868032,0.85365,12.696296,167.906612,2.084233,3.420635,0.2978,0.67656,-0.493014,0.945168,0.902858,1.88216,Actinopterygii.Perciformes.Pomacentridae.Abudefduf.A-vaigiensis
0.181105,0.201786,0.916653,44.821484,0.903141,13.238971,179.910609,1.871781,2.919651,0.168645,0.505365,-0.583233,0.953745,0.935225,1.861391,Actinopterygii.Perciformes.Pomacentridae.Abudefduf.A-vaigiensis
0.139393,0.568711,0.825453,45.300127,0.813231,13.24806,181.458824,1.996321,3.495239,0.482834,0.825554,-0.373221,0.893793,0.835227,1.702824,Actinopterygii.Perciformes.Pomacentridae.Abudefduf.A-vaigiensis
0.109309,0.511803,0.903278,37.134757,0.807003,11.776721,148.762295,2.214647,3.749379,0.425707,0.800861,-0.456368,0.943961,0.914695,1.854829,Actinopterygii.Perciformes.Pomacentridae.Abudefduf.A-vaigiensis
0.113443,0.552571,0.921753,37.059378,0.820501,11.612,148.409714,2.243633,3.737179,0.470482,0.804812,-0.496837,0.956795,0.930709,1.684428,Actinopterygii.Perciformes.Pomacentridae.Abudefduf.A-vaigiensis
0.143491,0.45979,0.932714,25.568584,0.898959,9.444406,102.403846,2.178659,3.56286,0.414867,0.601814,-0.652316,0.983984,0.963874,1.789783,Actinopterygii.Perciformes.Pempheridae.Pempheris.P-vanicolensis
0.1657,0.289566,0.975808,21.396965,0.927319,7.882948,85.790001,2.128006,3.343423,0.263403,0.470583,-0.734826,0.98966,0.983496,1.89111,Actinopterygii.Perciformes.Pempheridae.Pempheris.P-vanicolensis
0.17789,0.122265,0.981233,28.403277,0.954923,10.060383,114.118641,1.958775,2.98162,0.114014,0.321106,-0.811665,0.991451,0.983241,1.836915,Actinopterygii.Perciformes.Pempheridae.Pempheris.P-vanicolensis
0.346668,0.09893,0.992085,32.327822,0.968131,10.244618,129.851671,1.423654,2.160622,0.097186,0.252235,-0.83749,0.977516,1,1.767381,Actinopterygii.Perciformes.Pempheridae.Pempheris.P-vanicolensis
0.13533,0.315594,0.958952,17.043778,0.886487,7.297495,68.314635,2.188175,3.527361,0.270779,0.608465,-0.626679,0.979803,0.961345,1.81072,Actinopterygii.Perciformes.Pempheridae.Pempheris.P-vanicolensis
0.365263,0.084198,0.963415,33.542386,0.963038,11.413985,134.797743,1.41853,2.141094,0.080914,0.273341,-0.773061,0.965746,0.965471,1.828352,Actinopterygii.Perciformes.Labridae.Hemigymnus.H-melapterus
0.372756,0.039633,0.962309,19.413528,0.980183,8.723261,78.158705,1.145784,1.69265,0.04535,0.166776,-0.82466,0.95237,0.966951,1.823601,Actinopterygii.Perciformes.Labridae.Hemigymnus.H-melapterus
0.324228,0.066153,0.947628,18.607926,0.967167,8.510958,74.89651,1.276027,1.908867,0.065341,0.243332,-0.754315,0.949166,0.949157,1.792313,Actinopterygii.Perciformes.Labridae.Hemigymnus.H-melapterus
0.356963,0.048706,0.957522,19.172229,0.975647,8.656542,77.180266,1.193144,1.770049,0.052154,0.194687,-0.80345,0.952459,0.967299,1.811117,Actinopterygii.Perciformes.Labridae.Hemigymnus.H-melapterus
0.274404,0.097455,0.933332,17.612631,0.951273,8.248727,70.867636,1.452791,2.193389,0.088716,0.319454,-0.694688,0.950345,0.937949,1.80034,Actinopterygii.Perciformes.Labridae.Hemigymnus.H-melapterus
0.142331,0.132166,0.983363,24.06543,0.942227,8.996352,96.690848,2.22438,3.366859,0.118215,0.374928,-0.775508,0.992947,0.987918,1.823775,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-speculum
0.178197,0.161236,0.978864,32.262803,0.940025,10.698689,129.557667,2.064163,3.178436,0.145185,0.395941,-0.754917,0.989349,0.983529,1.816576,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-speculum
0.173424,0.166826,0.973627,38.153372,0.934294,11.861803,153.187048,2.038238,3.142736,0.148141,0.417542,-0.733469,0.986787,0.979545,1.81066,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-speculum
0.168996,0.173799,0.97421,36.816831,0.931948,11.597981,147.817424,2.06659,3.190722,0.153846,0.427957,-0.729309,0.987084,0.979401,1.805775,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-speculum
0.14335,0.140244,0.98234,29.521621,0.942371,10.140854,118.579065,2.194508,3.334429,0.126042,0.378337,-0.773431,0.992513,0.985411,1.825464,Actinopterygii.Perciformes.Chaetodontidae.Chaetodon.C-speculum
