peaks_freq_1,peaks_freq_2,peaks_freq_3,peaks_freq_4,peaks_freq_5,peaks_freq_6,inharmonicity,eh_1,eh_2,eh_3,eh_4,eh_5,eh_6,eh_7,eh_8,eh_9,eh_10,eh_11,eh_12,eh_13,eh_14,eh_15,eh_16,eh_17,eh_18,eh_19,eh_20,eh_21,eh_22,eh_23,eh_24,eh_25,eh_26,class
0.198548,0.238397,0.00626,0.35862,0.024906,0.310362,0.30392,0.01354,0.007654,0.007727,0.036286,0.010843,0.041221,0.006979,0.007383,0.056193,0.040995,0.009041,0.003416,0.037097,0.006641,0.014202,0.003863,0.003816,0.007006,0.017614,0.091202,0.146381,0.085569,0.047811,0.014339,0.00534,0.007886,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:M
0.208224,0.248747,0.373058,0.001821,0.442719,0.409814,0.390841,0.012479,0.007819,0.008769,0.09271,0.009938,0.10596,0.018164,0.005619,0.026677,0.137999,0.055444,0.005695,0.014624,0.052344,0.011037,0.019518,0.004467,0.006065,0.013264,0.038678,0.196819,0.316259,0.234712,0.090857,0.017343,0.010174,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:M
0.372421,0.106591,0.437086,0.330572,0.000866,0.360633,0.339851,0.007801,0.004958,0.020214,0.00854,0.027478,0.006764,0.006615,0.053885,0.044837,0.006681,0.007802,0.079516,0.009617,0.007384,0.004084,0.006265,0.015679,0.082582,0.223245,0.065559,0.025848,0.013005,0.008293,0.008895,0.008459,0.016717,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:M
0.186514,0.221903,0.010742,0.337218,0.395642,0.022286,0.280103,0.013039,0.011633,0.021137,0.012523,0.037236,0.011999,0.011343,0.034635,0.079334,0.009626,0.007266,0.0353,0.015212,0.010191,0.005375,0.008888,0.020953,0.047048,0.150661,0.11626,0.053134,0.018607,0.014554,0.009297,0.004193,0.011298,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:M
0.403368,0.116459,0.001828,0.358289,0.419164,0.391688,0.37045,0.015831,0.006088,0.009307,0.029501,0.016834,0.033343,0.005726,0.011775,0.109365,0.035137,0.00914,0.006559,0.109371,0.008896,0.021388,0.004133,0.005182,0.014871,0.040696,0.182276,0.20516,0.072514,0.03631,0.014708,0.005558,0.012219,Diptera.Culicidae.Aedes.Ae-albopictus.Ae-albopictus:M
0.430546,0.006221,0.119965,0.385726,0.453108,0.503111,0.467417,0.040728,0.01815,0.015542,0.030877,0.013965,0.028928,0.017283,0.008562,0.024083,0.070944,0.024233,0.007434,0.017851,0.065461,0.017468,0.010852,0.007619,0.008609,0.014424,0.033414,0.093178,0.161341,0.10477,0.037286,0.014301,0.014093,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:M
0.012847,0.138769,0.02783,0.050209,0.134783,0.186208,0.152409,0.035986,0.028277,0.024165,0.018727,0.023843,0.018753,0.028903,0.020559,0.014648,0.012194,0.022732,0.02067,0.017155,0.009558,0.009144,0.01165,0.008778,0.012274,0.007565,0.008161,0.010184,0.018488,0.029009,0.034275,0.030834,0.040822,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:M
0.470502,0.13831,0.411585,0.011878,0.490801,0.165083,0.315805,0.004581,0.004436,0.004073,0.0035,0.011126,0.003818,0.028627,0.004517,0.002844,0.00408,0.065034,0.013984,0.004237,0.003007,0.017363,0.015016,0.004446,0.005144,0.003558,0.003447,0.004783,0.008356,0.020455,0.120927,0.042361,0.02916,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:M
0.357023,0.104417,0.007636,0.318706,0.371898,0.346101,0.320403,0.009303,0.007111,0.027915,0.005216,0.024208,0.00274,0.005639,0.099642,0.016304,0.002337,0.026251,0.007974,0.013059,0.002624,0.002813,0.006097,0.025231,0.160158,0.063061,0.022372,0.006242,0.0042,0.005159,0.007083,0.003705,0.003567,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:M
0.011874,0.122539,0.24906,0.14871,0.087415,0.107732,0.109772,0.062535,0.041646,0.045255,0.038214,0.023901,0.036713,0.035181,0.03335,0.026834,0.032498,0.022365,0.014547,0.014745,0.022579,0.011579,0.011585,0.011625,0.015725,0.010926,0.018892,0.035218,0.058916,0.044885,0.027339,0.015685,0.023764,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:M
0.22624,0.065801,0.200701,0.274806,0.361018,0.221741,0.197826,0.008175,0.007925,0.008717,0.0105,0.021277,0.005264,0.029922,0.007242,0.005526,0.012048,0.074826,0.026375,0.012859,0.00705,0.008158,0.003928,0.011745,0.008957,0.006319,0.0051,0.004316,0.009781,0.038506,0.077133,0.032178,0.012989,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:F
0.105181,0.128788,0.006892,0.204247,0.222365,0.06173,0.128326,0.016643,0.014759,0.009506,0.017889,0.019576,0.010102,0.010822,0.006803,0.009116,0.02096,0.049811,0.023668,0.010708,0.006798,0.004479,0.00526,0.006884,0.007372,0.004862,0.005952,0.009149,0.017246,0.036396,0.029162,0.009511,0.00902,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:F
0.271437,0.077646,0.23815,0.324053,0.356443,0.317211,0.241413,0.003137,0.019578,0.018044,0.003422,0.005292,0.048261,0.006314,0.047685,0.007952,0.004075,0.004995,0.006738,0.08862,0.063199,0.018601,0.006146,0.010211,0.014105,0.006846,0.007443,0.026987,0.00775,0.012853,0.008035,0.005817,0.009908,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:F
0.116196,0.143969,0.011918,0.220123,0.260448,0.243039,0.21224,0.026069,0.042563,0.091328,0.018589,0.093274,0.03377,0.033178,0.022312,0.011015,0.010891,0.04423,0.128607,0.136627,0.040536,0.019988,0.015287,0.014903,0.014145,0.022652,0.010402,0.008588,0.007156,0.009309,0.019193,0.033382,0.068931,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:F
0.139112,0.166493,0.244538,0.335525,0.01572,0.018763,0.193438,0.004442,0.038974,0.02339,0.018604,0.008743,0.075569,0.029287,0.014886,0.034494,0.009786,0.007138,0.008961,0.043812,0.108464,0.082455,0.030997,0.008733,0.011708,0.012092,0.008529,0.013111,0.017096,0.009983,0.006022,0.004358,0.007449,Diptera.Culicidae.Aedes.Ae-aegypti.Ae-aegypti:F
0.039108,0.05024,0.076625,0.100276,0.106617,0.043657,0.026938,0.112536,0.080103,0.142847,0.124759,0.092965,0.088631,0.088395,0.145332,0.131322,0.072787,0.064077,0.055684,0.061147,0.06535,0.055106,0.049424,0.061097,0.087995,0.071305,0.045568,0.066433,0.068343,0.065733,0.045434,0.027668,0.052524,Diptera.Muscidae.Musca.M-domestica
0.040539,0.055373,0.0826,0.15048,0.111306,0.110962,0.066613,0.062352,0.041405,0.041507,0.057348,0.045125,0.03497,0.032688,0.031458,0.028349,0.019085,0.014776,0.010145,0.016961,0.016252,0.022512,0.02221,0.019813,0.02048,0.018403,0.013813,0.011183,0.013105,0.017224,0.011681,0.008013,0.011303,Diptera.Muscidae.Musca.M-domestica
0.047166,0.061521,0.098311,0.13333,0.073201,0.107707,0.052946,0.105207,0.085152,0.103014,0.102734,0.10645,0.085277,0.097477,0.094411,0.092054,0.054954,0.089902,0.054906,0.055777,0.057359,0.051358,0.047611,0.05775,0.064836,0.051148,0.040862,0.025217,0.031453,0.048903,0.060297,0.034967,0.039075,Diptera.Muscidae.Musca.M-domestica
0.075425,0.028525,0.098013,0.083523,0.107002,0.115085,0.061102,0.220464,0.151397,0.194527,0.144453,0.119883,0.102955,0.163841,0.167867,0.12575,0.080305,0.082162,0.050999,0.05651,0.042606,0.05431,0.050068,0.055017,0.062795,0.048998,0.043299,0.035881,0.035067,0.044717,0.031624,0.01961,0.028368,Diptera.Muscidae.Musca.M-domestica
0.047562,0.078302,0.066112,0.111378,0.135731,0.378437,0.33661,0.063386,0.045182,0.045812,0.039669,0.038096,0.036317,0.03736,0.030753,0.025222,0.011243,0.011663,0.01062,0.014043,0.013282,0.013095,0.011293,0.010279,0.008718,0.007915,0.00946,0.009284,0.008837,0.008938,0.006633,0.00469,0.006745,Diptera.Muscidae.Musca.M-domestica
0.102035,0.123209,0.184593,0.24756,0.00618,0.200641,0.169803,0.042219,0.035934,0.009878,0.066069,0.018542,0.035515,0.018242,0.006554,0.026525,0.084615,0.068848,0.020828,0.011202,0.008357,0.008053,0.019362,0.009557,0.008728,0.00665,0.012603,0.043689,0.078888,0.066538,0.02058,0.005786,0.006944,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:F
0.20432,0.057005,0.179032,0.242862,0.266273,0.007476,0.164676,0.014691,0.013074,0.004781,0.034665,0.005515,0.028084,0.007064,0.005373,0.020729,0.041463,0.016046,0.00655,0.006386,0.004323,0.007945,0.007272,0.008669,0.006984,0.005943,0.016161,0.061835,0.057512,0.023555,0.006436,0.004903,0.00685,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:F
0.095873,0.117708,0.179308,0.242722,0.010851,0.199889,0.166568,0.094504,0.084853,0.014856,0.124206,0.018849,0.043476,0.018359,0.015201,0.10671,0.149126,0.096502,0.018059,0.013776,0.009215,0.016403,0.016697,0.008214,0.007201,0.0135,0.047985,0.092998,0.085125,0.037904,0.011644,0.004753,0.007259,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:F
0.224941,0.065488,0.196667,0.269268,0.294983,0.263718,0.193895,0.004415,0.00429,0.005335,0.00592,0.01512,0.004162,0.021767,0.00526,0.004077,0.006881,0.064282,0.017989,0.007917,0.004983,0.013047,0.004411,0.018296,0.005973,0.007917,0.005569,0.00432,0.007476,0.056156,0.065333,0.022133,0.006987,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:F
0.189539,0.22746,0.054319,0.171704,0.25083,0.224368,0.159609,0.015771,0.012688,0.013027,0.022418,0.026756,0.017949,0.006731,0.018808,0.144628,0.024761,0.011882,0.011311,0.008846,0.012991,0.012227,0.009454,0.005818,0.012548,0.069903,0.16722,0.103596,0.025642,0.013174,0.006076,0.008004,0.005968,Diptera.Culicidae.Culex.Cx-quinquefasciatus.Cx-quinquefasciatus:F
0.096525,0.02828,0.118859,0.088108,0.159175,0.096959,0.067539,0.054591,0.044419,0.017534,0.071598,0.034002,0.034126,0.039486,0.024595,0.041573,0.058363,0.052416,0.020534,0.0184,0.013695,0.033457,0.031754,0.019027,0.015161,0.012348,0.017024,0.03809,0.036128,0.01982,0.01244,0.008944,0.021283,Diptera.Drosophilidae.Drosophila.D-suzukii
0.054352,0.067374,0.172231,0.138652,0.18398,0.067522,0.083886,0.018049,0.035548,0.029682,0.0102,0.081469,0.047243,0.027209,0.022519,0.017357,0.003319,0.035526,0.047699,0.036871,0.005949,0.015824,0.007183,0.004886,0.033454,0.015601,0.009395,0.009553,0.006876,0.004007,0.013457,0.016291,0.013278,Diptera.Drosophilidae.Drosophila.D-suzukii
0.056125,0.068397,0.108616,0.139378,0.159052,0.140051,0.087266,0.056602,0.09726,0.062134,0.024669,0.134227,0.12738,0.090637,0.046479,0.048969,0.02347,0.041044,0.074022,0.078227,0.03073,0.029532,0.02019,0.018582,0.045813,0.054109,0.055312,0.037485,0.026712,0.017582,0.025494,0.028529,0.039809,Diptera.Drosophilidae.Drosophila.D-suzukii
0.112767,0.030453,0.099468,0.137493,0.150483,0.135425,0.083537,0.009607,0.015003,0.023269,0.007098,0.045593,0.019074,0.019616,0.020652,0.010517,0.003639,0.035027,0.033555,0.022767,0.006991,0.007463,0.004463,0.009406,0.027668,0.017213,0.006625,0.008021,0.005424,0.008173,0.020786,0.016278,0.012142,Diptera.Drosophilidae.Drosophila.D-suzukii
0.055965,0.068188,0.103368,0.139772,0.154868,0.160994,0.103461,0.029367,0.040234,0.049259,0.01617,0.089047,0.051086,0.056648,0.039685,0.033326,0.012109,0.030188,0.055174,0.047606,0.018737,0.021081,0.014494,0.014239,0.048382,0.048412,0.033836,0.017236,0.012459,0.012009,0.018737,0.030726,0.041508,Diptera.Drosophilidae.Drosophila.D-suzukii
0.122589,0.033836,0.108743,0.148239,0.194268,0.118497,0.089824,0.032992,0.064554,0.084267,0.021321,0.091351,0.081065,0.055636,0.042646,0.049847,0.022548,0.02654,0.077173,0.112944,0.054587,0.031477,0.02405,0.020895,0.035055,0.062824,0.060836,0.037698,0.021998,0.016872,0.018613,0.016109,0.061824,Diptera.Drosophilidae.Drosophila.D-melanogaster
0.055365,0.101801,0.065737,0.138206,0.183344,0.111326,0.082498,0.043259,0.051903,0.052848,0.026334,0.115769,0.072939,0.077701,0.075639,0.039565,0.008257,0.067285,0.053612,0.037305,0.019573,0.019955,0.014414,0.024561,0.101061,0.065136,0.031647,0.020103,0.012605,0.016009,0.053745,0.051349,0.041413,Diptera.Drosophilidae.Drosophila.D-melanogaster
0.051246,0.066869,0.099343,0.137723,0.150818,0.157813,0.101643,0.016109,0.028562,0.035635,0.012356,0.074289,0.039206,0.038455,0.040602,0.021983,0.006557,0.047591,0.043765,0.030638,0.011723,0.01459,0.007883,0.017934,0.053179,0.032343,0.011449,0.01654,0.008576,0.010707,0.031446,0.027687,0.020021,Diptera.Drosophilidae.Drosophila.D-melanogaster
0.106812,0.029694,0.129834,0.198683,0.087178,0.107839,0.078109,0.018291,0.019781,0.016011,0.017806,0.040095,0.022697,0.01842,0.015599,0.013294,0.012845,0.051532,0.030008,0.015732,0.009508,0.007373,0.006501,0.016932,0.013623,0.011766,0.011282,0.010768,0.010571,0.031101,0.031116,0.010765,0.009158,Diptera.Drosophilidae.Drosophila.D-melanogaster
0.049739,0.067845,0.044435,0.099791,0.102175,0.054411,0.022989,0.06593,0.076558,0.090713,0.069313,0.104328,0.098408,0.079989,0.082961,0.075117,0.049094,0.045973,0.055138,0.062834,0.042583,0.038243,0.050648,0.056829,0.061197,0.052249,0.050029,0.046822,0.049403,0.037808,0.019921,0.020354,0.031303,Diptera.Drosophilidae.Drosophila.D-melanogaster
0.159762,0.045349,0.185232,0.139645,0.207491,0.004747,0.120287,0.032861,0.012002,0.093849,0.048703,0.019137,0.009192,0.144023,0.135252,0.049906,0.02361,0.012504,0.015764,0.015217,0.007375,0.021928,0.105373,0.14069,0.087588,0.019092,0.014855,0.011602,0.006977,0.007594,0.016083,0.023343,0.031184,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:F
0.068976,0.088218,0.13066,0.177802,0.011381,0.146346,0.110351,0.043966,0.019447,0.044088,0.025998,0.004949,0.023302,0.10765,0.0605,0.017995,0.004803,0.013765,0.004888,0.005256,0.008234,0.036701,0.04321,0.018486,0.006553,0.006945,0.005456,0.003951,0.004152,0.015721,0.021201,0.008676,0.004709,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:F
0.152658,0.043975,0.140968,0.188523,0.212501,0.000801,0.127184,0.046222,0.019885,0.065067,0.053681,0.022906,0.021891,0.172912,0.097946,0.031709,0.018851,0.019269,0.02274,0.014639,0.007366,0.039309,0.104122,0.08917,0.038367,0.014492,0.007492,0.011415,0.009906,0.014271,0.02585,0.027421,0.044366,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:F
0.083263,0.10115,0.147369,0.209046,0.230979,0.20364,0.144032,0.034756,0.022877,0.104168,0.026494,0.031861,0.00738,0.028668,0.165007,0.122509,0.027065,0.01212,0.007746,0.013211,0.006861,0.006815,0.008974,0.033242,0.091928,0.060209,0.017266,0.008263,0.006391,0.010562,0.006242,0.004477,0.013327,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:F
0.095191,0.117482,0.012071,0.023371,0.160001,0.161242,0.133644,0.050069,0.040677,0.033606,0.0538,0.028722,0.032037,0.027756,0.035394,0.063474,0.05875,0.046427,0.021194,0.020083,0.016045,0.014881,0.019381,0.016748,0.022015,0.023728,0.030724,0.049452,0.049788,0.022872,0.014109,0.009166,0.013534,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:F
0.282763,0.079189,0.010947,0.252755,0.293979,0.271368,0.242677,0.026118,0.06285,0.046905,0.035109,0.016383,0.126445,0.055544,0.029657,0.100553,0.023853,0.009208,0.016284,0.078316,0.196523,0.140499,0.059369,0.026338,0.018547,0.028351,0.008129,0.024803,0.039794,0.013216,0.011194,0.005736,0.011684,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:M
0.140979,0.167525,0.249824,0.007517,0.298632,0.274904,0.247367,0.007863,0.032914,0.02286,0.028153,0.006539,0.054318,0.042978,0.009854,0.027111,0.010057,0.005153,0.005933,0.033882,0.085666,0.084034,0.048096,0.014355,0.01162,0.010816,0.006744,0.008406,0.020849,0.010506,0.008525,0.003484,0.005348,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:M
0.130976,0.1559,0.010987,0.237388,0.279931,0.263701,0.232447,0.009555,0.031161,0.02656,0.004178,0.006517,0.034716,0.005085,0.022719,0.006562,0.002216,0.003133,0.007621,0.06244,0.045012,0.02172,0.005254,0.003894,0.006317,0.003734,0.007809,0.007995,0.004014,0.004708,0.003341,0.002808,0.005727,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:M
0.139801,0.166149,0.006105,0.253735,0.294693,0.271806,0.244655,0.012759,0.048493,0.034672,0.027948,0.012112,0.093917,0.044663,0.024423,0.04369,0.011984,0.008092,0.012723,0.060261,0.134472,0.100989,0.049377,0.021053,0.014246,0.012927,0.007883,0.010254,0.019329,0.01123,0.006779,0.004522,0.006951,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:M
0.261302,0.073864,0.228606,0.312887,0.00593,0.253812,0.225896,0.004294,0.012939,0.018312,0.002936,0.010595,0.016539,0.004554,0.046466,0.012394,0.002561,0.003836,0.012429,0.082529,0.020847,0.008205,0.004704,0.005065,0.007308,0.004586,0.017025,0.006188,0.005815,0.005496,0.004592,0.003541,0.011874,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:M
0.151963,0.188723,0.006307,0.286864,0.333189,0.107856,0.20555,0.008706,0.014142,0.029631,0.051956,0.011548,0.017254,0.097569,0.033313,0.014449,0.015779,0.008477,0.007459,0.013524,0.01992,0.055494,0.115656,0.096928,0.04371,0.016022,0.017891,0.012741,0.009936,0.006311,0.00591,0.008008,0.007934,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:M
0.122558,0.150419,0.223133,0.006639,0.01554,0.193189,0.175718,0.007181,0.027795,0.05073,0.006596,0.040823,0.034732,0.011003,0.03073,0.017776,0.004825,0.017308,0.05592,0.106894,0.044233,0.016357,0.007773,0.007019,0.00652,0.015062,0.022058,0.005884,0.00611,0.005797,0.005735,0.007575,0.031237,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:M
0.253181,0.072755,0.292722,0.221294,0.005697,0.289494,0.251068,0.01479,0.033882,0.053548,0.008899,0.083995,0.041862,0.030399,0.087418,0.013538,0.006564,0.021811,0.136182,0.163245,0.051177,0.020419,0.012516,0.030228,0.011713,0.030113,0.011027,0.008323,0.010755,0.013385,0.015055,0.033455,0.192701,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:M
0.302319,0.087975,0.265555,0.358353,0.396022,0.353363,0.271781,0.002073,0.004384,0.003258,0.020187,0.001339,0.006277,0.037593,0.003904,0.013296,0.005482,0.006353,0.001658,0.0031,0.00824,0.076919,0.042384,0.015128,0.004804,0.005531,0.005735,0.003492,0.002841,0.012928,0.009517,0.001627,0.006606,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:M
0.282265,0.083087,0.248847,0.33625,0.001896,0.271541,0.246126,0.006735,0.018347,0.01185,0.012493,0.004958,0.058581,0.02116,0.01877,0.050678,0.011819,0.003574,0.004718,0.030068,0.09593,0.056053,0.022388,0.007364,0.009128,0.018662,0.00543,0.013142,0.021038,0.006747,0.006022,0.003374,0.004906,Diptera.Culicidae.Anopheles.A-aquasalis.A-aquasalis:M
0.067885,0.088244,0.13036,0.017321,0.155047,0.097066,0.077728,0.062124,0.044943,0.064128,0.034355,0.019033,0.054683,0.123207,0.08446,0.042661,0.016521,0.025655,0.011668,0.019213,0.024937,0.044475,0.042657,0.028301,0.019447,0.017528,0.015782,0.01412,0.016059,0.023089,0.024564,0.011699,0.011099,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:F
0.170588,0.04622,0.151302,0.204399,0.226638,0.001256,0.138533,0.03582,0.018505,0.10293,0.022937,0.054072,0.012156,0.050399,0.191367,0.079403,0.022041,0.022736,0.018664,0.041148,0.015181,0.010624,0.018455,0.074728,0.144315,0.095095,0.036327,0.015231,0.017753,0.016087,0.007439,0.009023,0.03276,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:F
0.151519,0.044723,0.179621,0.138054,0.202414,0.178409,0.120002,0.035708,0.025909,0.053281,0.072417,0.01714,0.034173,0.190002,0.076221,0.062044,0.025311,0.035576,0.020479,0.024299,0.015107,0.09512,0.142686,0.094927,0.042844,0.02118,0.034903,0.018646,0.013587,0.03663,0.062158,0.030807,0.029664,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:F
0.14285,0.040525,0.129596,0.17602,0.193018,0.168785,0.113227,0.047316,0.040635,0.043158,0.049948,0.010703,0.06049,0.133274,0.059321,0.036745,0.017089,0.030201,0.013618,0.012315,0.043728,0.111345,0.07002,0.021551,0.015827,0.01798,0.012839,0.010744,0.027176,0.05666,0.044443,0.015097,0.012885,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:F
0.132081,0.039966,0.162236,0.122139,0.1835,0.00427,0.102174,0.077998,0.142541,0.13512,0.065825,0.053419,0.220228,0.122206,0.112711,0.090357,0.047093,0.041378,0.042316,0.153854,0.207438,0.127916,0.048312,0.031359,0.045989,0.023693,0.042409,0.057511,0.068546,0.066154,0.034898,0.017668,0.023911,Diptera.Culicidae.Culex.Cx-tarsalis.Cx-tarsalis:F
0.151173,0.012602,0.17431,0.275354,0.029638,0.239123,0.218539,0.019038,0.036316,0.05166,0.052785,0.019594,0.033031,0.089161,0.042981,0.02266,0.012463,0.018448,0.00913,0.022733,0.038786,0.09059,0.103615,0.086316,0.053943,0.026635,0.019104,0.016035,0.011022,0.017598,0.025202,0.009325,0.00838,Diptera.Chironomidae.Chironomus.C-xanthus
0.134894,0.012203,0.02761,0.165758,0.218716,0.217833,0.196631,0.031857,0.038095,0.02494,0.017218,0.014958,0.03695,0.015969,0.009452,0.010749,0.007334,0.003777,0.00406,0.013811,0.043303,0.031367,0.009615,0.005209,0.005401,0.006229,0.004511,0.006537,0.01295,0.005026,0.005052,0.002814,0.004296,Diptera.Chironomidae.Chironomus.C-xanthus
0.133755,0.16685,0.248797,0.007304,0.293845,0.228854,0.215459,0.024755,0.057131,0.044682,0.038223,0.016249,0.086793,0.052782,0.019326,0.040423,0.019655,0.009849,0.013856,0.061544,0.130277,0.096456,0.052169,0.027966,0.016924,0.017605,0.012501,0.02474,0.032578,0.016405,0.010568,0.005443,0.007589,Diptera.Chironomidae.Chironomus.C-xanthus
